식품명,식품대분류명,영양성분함량기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),식품기원명
국밥_돼지머리,밥류,100g,137,15.94,6.70,5.16,181,가정식(분석 함량)
국밥_순대국밥,밥류,100g,75,10.38,3.17,2.28,126,가정식(분석 함량)
국밥_콩나물,밥류,100g,52,10.93,1.45,0.24,172,가정식(분석 함량)
기장밥,밥류,100g,166,36.77,3.44,0.57,1,가정식(분석 함량)
김밥,밥류,100g,140,19.98,4.84,4.55,307,가정식(분석 함량)
김밥_김치,밥류,100g,130,19.17,4.30,4.03,349,가정식(분석 함량)
김밥_날치알,밥류,100g,177,28.66,6.10,4.26,299,가정식(분석 함량)
김밥_돈가스,밥류,100g,202,31.64,5.77,5.81,241,가정식(분석 함량)
김밥_소고기,밥류,100g,179,25.78,6.46,5.56,267,가정식(분석 함량)
김밥_참치,밥류,100g,174,20.26,7.00,7.22,335,가정식(분석 함량)
김밥_채소,밥류,100g,158,26.65,4.60,3.65,309,가정식(분석 함량)
김밥_치즈,밥류,100g,177,22.10,6.24,7.03,169,가정식(분석 함량)
김밥_풋고추,밥류,100g,169,27.52,4.88,4.41,327,가정식(분석 함량)
덮밥_낙지,밥류,100g,150,24.12,5.88,3.34,212,가정식(분석 함량)
덮밥_닭고기,밥류,100g,125,14.82,11.40,2.18,153,가정식(분석 함량)
덮밥_돼지고기(제육),밥류,100g,202,16.86,9.43,10.77,174,가정식(분석 함량)
덮밥_불고기,밥류,100g,182,26.96,6.60,5.31,253,가정식(분석 함량)
덮밥_오징어,밥류,100g,135,21.94,7.18,2.01,162,가정식(분석 함량)
보리밥,밥류,100g,161,36.77,2.90,0.24,4,가정식(분석 함량)
볶음밥,밥류,100g,183,33.97,5.56,2.76,212,가정식(분석 함량)
볶음밥_계란,밥류,100g,225,24.23,6.62,11.28,318,가정식(분석 함량)
볶음밥_김치,밥류,100g,167,15.74,5.32,9.18,470,가정식(분석 함량)
볶음밥_새우,밥류,100g,172,22.85,6.31,6.14,146,가정식(분석 함량)
볶음밥_소고기,밥류,100g,176,21.76,7.59,6.48,215,가정식(분석 함량)
볶음밥_참치,밥류,100g,180,32.90,4.62,3.27,631,가정식(분석 함량)
볶음밥_채소,밥류,100g,182,28.74,4.72,5.39,408,가정식(분석 함량)
볶음밥_표고버섯,밥류,100g,184,31.79,3.36,4.81,299,가정식(분석 함량)
비빔밥,밥류,100g,142,18.84,6.86,4.32,232,가정식(분석 함량)
비빔밥_돌솥,밥류,100g,147,24.68,5.39,2.95,337,가정식(분석 함량)
비빔밥_육회,밥류,100g,147,22.92,6.39,3.36,446,가정식(분석 함량)
삼각김밥_참치마요네즈,밥류,100g,199,25.45,5.93,8.21,230,가정식(분석 함량)
수수밥,밥류,100g,161,35.02,3.16,0.92,1,가정식(분석 함량)
알밥,밥류,100g,128,15.75,4.73,5.11,430,가정식(분석 함량)
영양돌솥밥,밥류,100g,184,36.06,3.43,2.87,6,가정식(분석 함량)
오므라이스,밥류,100g,173,20.54,6.50,7.23,433,가정식(분석 함량)
자장밥,밥류,100g,122,15.57,4.27,4.72,236,가정식(분석 함량)
잡곡밥,밥류,100g,146,29.33,5.30,0.87,3,가정식(분석 함량)
잡채밥,밥류,100g,150,25.79,4.02,3.42,227,가정식(분석 함량)
주먹밥_소고기,밥류,100g,178,34.73,4.76,2.18,357,가정식(분석 함량)
짬뽕밥,밥류,100g,72,11.65,3.20,1.40,234,가정식(분석 함량)
차조밥,밥류,100g,157,34.86,2.84,0.65,1,가정식(분석 함량)
찰밥,밥류,100g,153,33.56,4.39,0.18,3,가정식(분석 함량)
초밥_모듬,밥류,100g,160,26.72,9.66,1.59,142,가정식(분석 함량)
초밥_유부초밥,밥류,100g,194,29.82,5.78,5.77,386,가정식(분석 함량)
카레라이스,밥류,100g,108,20.74,3.11,1.40,210,가정식(분석 함량)
콩나물밥,밥류,100g,123,22.39,4.68,1.58,272,가정식(분석 함량)
콩밥_검정콩,밥류,100g,165,34.30,4.53,1.12,3,가정식(분석 함량)
콩밥_완두콩,밥류,100g,138,31.25,2.95,0.16,295,가정식(분석 함량)
하이라이스,밥류,100g,112,21.34,4.02,1.13,246,가정식(분석 함량)
현미밥,밥류,100g,172,38.90,3.10,0.47,2,가정식(분석 함량)
회덮밥_모듬,밥류,100g,145,17.76,9.10,4.15,155,가정식(분석 함량)
가래떡,빵 및 과자류,100g,195,43.73,3.92,0.51,241,가정식(분석 함량)
경단_깨,빵 및 과자류,100g,240,38.58,6.28,6.72,203,가정식(분석 함량)
꿀떡,빵 및 과자류,100g,228,49.48,3.74,1.73,275,가정식(분석 함량)
모듬찰떡,빵 및 과자류,100g,218,42.27,6.78,2.44,188,가정식(분석 함량)
백설기,빵 및 과자류,100g,230,50.40,3.71,1.45,211,가정식(분석 함량)
송편_깨,빵 및 과자류,100g,219,42.83,4.65,3.23,260,가정식(분석 함량)
시루떡,빵 및 과자류,100g,224,48.13,3.77,1.85,195,가정식(분석 함량)
약식,빵 및 과자류,100g,220,45.24,4.21,2.45,221,가정식(분석 함량)
인절미,빵 및 과자류,100g,242,50.07,5.64,2.16,297,가정식(분석 함량)
절편_쑥,빵 및 과자류,100g,192,34.87,7.72,2.42,192,가정식(분석 함량)
